Column,centro_nro_registro,centro_tipo,alergologia,same_as_alergologia,cardiologia,same_as_cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,same_as_dermatologia,endocrinologia,same_as_endocrinologia,enfermeria,same_as_enfermeria,farmacia,same_as_farmacia,fisioterapia,same_as_fisioterapia,medicina_general,same_as_medicina_general,neumologia,same_as_neumologia,neurologia,same_as_neurologia,nutricion_y_dietetica,same_as_nutricion_y_dietetica,oncologia,same_as_oncologia,otorrinolaringologia,same_as_otorrinolaringologia,pediatria,same_as_pediatria,psicologia_clinica,same_as_psicologia_clinica,psiquiatria,same_as_psiquiatria,rehabilitacion,same_as_rehabilitacion,urgencias,same_as_urgencias,vacunacion,same_as_vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,same_as_municipio,localizacion_coordenada_x,localizacion_coordenada_y
0,CH0001,Hospital especializado,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,,,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,neurology,https://www.wikidata.org/wiki/Q83042,,,,,,,,,,,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,,,Ctra M-515 (POZUELO) 61 28220 Majadahonda,Ctra,M-515 (POZUELO),61,28220,Majadahonda,https://www.wikidata.org/wiki/Q427505,427057,4478720
1,CH0004,Otros centros con internamiento,,,,,,,,,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Avda de San Juan de Dios 1 28350 Ciempozuelos,Avda,de San Juan de Dios,1,28350,Ciempozuelos,https://www.wikidata.org/wiki/Q1751930,447788,4445728
2,CH0006,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,,,,,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,,,,,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Calle de Arturo Soria 17 28027 Madrid,Calle,de Arturo Soria,17,28027,Madrid,https://www.wikidata.org/wiki/Q2807,445713,4476806
3,CH0008,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,,,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,,,Calle del Maestro Ángel Llorca 8 28003 Madrid,Calle,del Maestro Ángel Llorca,8,28003,Madrid,https://www.wikidata.org/wiki/Q2807,439469,4477302
4,CH0009,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,,,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Calle de Pléyades 25 28023 Madrid,Calle,de Pléyades,25,28023,Madrid,https://www.wikidata.org/wiki/Q2807,433512,4479432
5,CH0011,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Avda de los Reyes Católicos 2 28040 Madrid,Avda,de los Reyes Católicos,2,28040,Madrid,https://www.wikidata.org/wiki/Q2807,438934,4476536
7,CH0013,Hospital especializado,,,cardiology,https://www.wikidata.org/wiki/Q10379,,,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,neurology,https://www.wikidata.org/wiki/Q83042,,,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,,,psychiatry,https://www.wikidata.org/wiki/Q7867,,,urgencias,https://www.wikidata.org/wiki/Q1295316,,,Calle de José Silva 7 28043 Madrid,Calle,de José Silva,7,28043,Madrid,https://www.wikidata.org/wiki/Q2807,444242,4478477
8,CH0017,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,,,otolaryngology,https://www.wikidata.org/wiki/Q189553,,,,,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,,,Calle de Juan Bravo 49 28006 Madrid,Calle,de Juan Bravo,49,28006,Madrid,https://www.wikidata.org/wiki/Q2807,442633,4476000
9,CH0018,Hospital general,,,,,,,,,endocrinology,https://www.wikidata.org/wiki/Q162606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Juan Bravo 39 28006 Madrid,Calle,de Juan Bravo,39,28006,Madrid,https://www.wikidata.org/wiki/Q2807,442633,4476000
10,CH0019,Otros centros con internamiento,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,,,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Calle de la Granja 8 28003 Madrid,Calle,de la Granja,8,28003,Madrid,https://www.wikidata.org/wiki/Q2807,439194,4477479
